reviewId,review,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appId,company,year,rating,clean_review,clean_review_len
gp:AOqpTOH8-n0arvMqNvdpH0EDIhaDM1OqYPU-kN-TFYboQd8cs_sKTivfMmCkqjNG3DoTs2EHHj-BccFl2XD14w,Very helpfull app for insurance policy,5,2,,2021-08-20 14:37:48,"Dear Asim, Thank you so much for your valuable feedback.

",2021-08-20 16:32:14,icici.lombard.ghi,icici_lombard,2021,0,helpfull app policy,3
gp:AOqpTOHFRDG3b9VpNMDB_46afHys4lx6cbzGJdHuExpHOyWLFkcF2iIsIOR3pXXcVj9SLRwK-3232GwrMVlINT0,"Worst app I have come across and that too for HDFC, unbelievable..",1,0,7.7,2021-04-06 18:51:32,"Hi Vivek Sinha, We are sorry for the inconvenience caused.
Please share the issue faced by you at ""contactsupport@hdfcergo.com"" along with you're registered contact details. We will fix it and update you.

Take it easy! :)",2021-04-07 12:13:39,com.pms.activity,hdfc_ergo,2021,1,app come across unbelievable,4
gp:AOqpTOG4trg4chKQVgsAZWDtthw1M6lQ0yfPt196DVzETAIDYU-tLOPnwIbK28nOoDed05GK62KkJwhdvHL6gw,Unable to open the app after update..,1,0,2.0.17,2021-02-02 13:21:51,"Dear Sekar, We would request you to update the ILTakeCare app as we have done performance enhancements in the latest update. If still, you are facing some issues write to us at iltakecare@icicilombard.com. We will get in touch with you and assist you further. Thanks!",2021-02-19 19:59:01,icici.lombard.ghi,icici_lombard,2021,1,unable open app update,4
gp:AOqpTOHMcrl4OH5gRQ4jGsWFGNHKAsjzUTJyZI-nQPeo_GlwxQydfBhMFUvxLA11bTCMGSL6oBIEx6ousQIRiA,Rakesh this facility is very good many people are benefiting from it and sarvice is also fast..,1,0,2.0.15,2021-01-25 17:11:37,"Dear Rajendra, Thank you so much for your valuable feedback.

",2021-01-25 19:59:35,icici.lombard.ghi,icici_lombard,2021,1,rakesh facility many people benefit sarvice also fast,8
gp:AOqpTOGhpUO9Xe4z6Wt0RcN2jgEGd4H0gKZUODG7aPYjcb4Z8Qm8fsMyYO21b4SW9qRG18snv_k3XXM5C6DUon4,"It's really useless app, while the other banking services are using latest technologies in developing user interface, all the HDFC apps are lacking in UI. I really wanted to cancel all the HDFC related savings account, health policies, vehicle policies because of the worst use interface providing by HDFC Shame on not improving IT wing of HDFC. Better to switch to ICICI",1,6,7.10,2021-05-23 11:32:28,"Hi Chandu A, We are sorry for the inconvenience caused.
Please share the issue faced by you at ""contactsupport@hdfcergo.com"" along with you're registered contact details. We will fix it and update you.

Take it easy! :)",2021-05-24 16:30:40,com.pms.activity,hdfc_ergo,2021,1,really useless app banking service use late technology develop user interface app lack ui really want cancel related saving account health policy vehicle policy use interface providing shame not improve wing well switch,33
gp:AOqpTOFR5o-4m-XmwcOY1fiaKGiROuWvri5066v_zpnR_1UrIcqE331oW_SMYk-YL8mReO6c1D67A7kxs8FtIqY,There is no option to view my mobile and electronic insurance on this when i just have those.....it would have been better of there was no app itself,1,0,,2020-08-18 07:06:33,"Hey M S, we've fixed this issue for you in our latest app (version 2.1.4). You will be able to see your mobile and electronics policies now. After reinstalling, it would be great if you could update your review if everything is back to normal. 😊 Regards, Team ACKO",2020-09-30 09:40:11,com.acko.android,acko,2020,1,no option view mobile electronic thoseit would well no app,10
gp:AOqpTOHovCKAGbjUiWO5IkuFAHN9NAL5DG7sjFrtv6Ppu9RrCUMJgTq5DxYE0EWjBmxSEthMBn_DHE12SJhVivo,superb app. Keep updated.,5,0,5.2,2019-06-05 14:06:50,"Hi Ajay Kumar Srivandla, Thank you for the feedback on our app. We are overwhelmed with your response. We work towards the best customer experience and request your continuous support in our future endeavors.

Take it easy! :)",2019-06-10 11:00:54,com.pms.activity,hdfc_ergo,2019,0,superb app keep update,4
gp:AOqpTOFPnKjfUplu6kqB2f_QNYaEL0BIxSOjvtv9XQpMS66xu93kpewWR_Gfxf-ss2BtunrCVNJw9TpzCs_-nW0,Worst app. It takes long time to open and health insurance policy or any screen have to wait literally 5 min for details to view. Worst thing is HDFC team is least interested in improving it,1,0,7.8,2021-04-14 20:53:22,"Hi Viral Dedhia, We are sorry for the inconvenience caused.

We have fixed the issue; but still, if you face some issue, we request you to write them to us on ""contactsupport@hdfcergo.com"" with your contact details so that we can provide a seamless experience to you in future.

Take it easy! :)",2021-04-27 15:47:41,com.pms.activity,hdfc_ergo,2021,1,app take long time open health policy screen wait literally min detail view thing team least interested improve,18
gp:AOqpTOGwNdIUx7PwrstjTUi7Lq07MyvIF-tLAtmWcCojljJokJr5nEbN1jkaLwtXJs70dDgkpqn22GgupC-f8w,App is user friendly but am not able to see my other policy As add on policy,5,0,2.0.7,2020-10-28 14:08:02,"Dear Sir, we're sorry to hear this. Request you to share your registered phone number and email ID at iltakecare@icicilombard.com. We will get in touch with you and assist you further. Thanks!",2020-10-28 17:25:36,icici.lombard.ghi,icici_lombard,2020,0,app user friendly not able see policy add policy,9
gp:AOqpTOF4UD1HAJj_deQM2S3-a6rugEPRDTHLaaAMw7s6w_RZUA74SjoMkjcs_nevMFFCcNPmUhdCWX6I9GblTQ,Unable to see Adobe policy plz help.,1,0,2.0.17,2021-02-03 20:02:28,"Dear Jiyan, we apologize for the unpleasant experience. It would be helpful if you could share your policy details and registered mobile number with us at iltakecare@icicilombard.com. We will look into the issue. Thanks!

",2021-02-05 15:43:45,icici.lombard.ghi,icici_lombard,2021,1,unable see adobe policy plz help,6
gp:AOqpTOH-uYi6HKacWBFm8Idu6Nz1obJirmzTAH9xu-tBjL4um09ANFr8yE24EYmTk9kC1z8DSF5JTMYrDqCNDA,Excellent and easy to use but the calendar needs to be updated as to select date specially in the 1900 takes more than half hour. Thanks,5,6,9.3,2020-08-21 19:54:42,,,com.ba.cp.controller,bajaj_allianz,2020,0,easy use calendar need update select date specially take half hour thank,12
gp:AOqpTOG0kOASmB7yFKCQHEL3kqgTAC4OlyDjJbh5Pi3gM9ZUmj1wSD3ZDe50q08U-DzfpKW8UOjl7v2irfv20A,"I think you should work on otp bug, i put all the details for registration and then wait for otp but did't get(also saw a toast message""otp sent successfully""but did't recieved it actually)",1,1,2.0.8,2020-10-31 15:13:04,"Dear Sandeep, we are glad to inform you that the OTP issue has been resolved from our end. If you still face the issue, we request you to write to us at iltakecare@icicilombard.com and if you are satisfied with the resolution, do rate us again. Thanks! your positive comment matter to us🙂!",2020-12-15 17:52:21,icici.lombard.ghi,icici_lombard,2020,1,think work otp bug put detail registration wait otp didt getalso see toast messageotp send successfullybut didt recieve actually,19
gp:AOqpTOHsxNwzTc8gMwi2ZCNaW26Q7-XyG8bleEzK0y5LyZ4bP8wZmJj7N0yDJnWhUx98t8vcZz3KofRk_vLH6g,Worst app worst service. I tried to contact by calling on your helpline number but i failed to contact your any executive. I emailed so many times but no satisfying reponse i got. I want to cancel my health policy as your executive told me that it covers my family but in caringly yours app it shows that this policy is for individual. It doesnot cover my family member. So please cancel my policy as your service is worst.,1,6,11.1,2020-12-27 10:19:22,,,com.ba.cp.controller,bajaj_allianz,2020,1,app service try contact call helpline number fail contact executive email many time no satisfying reponse get want cancel health policy executive tell cover family caringly app show policy individual doesnot cover family member please cancel policy service,38
gp:AOqpTOHcSTi6sOuKscu30ak-KEFn42A4GW8IjAM1P6VQLcZI63SamWNGg9xXvnSl1BRFJ2xN7h7mpZHleWS3Ax0,Worst app I have seen ever.... Lots of mail and sent to the support team still i cannot see my claim details. When I was using Apollo health jinn that was best for each and every tab was helpful. When HDFC ergo takeover it. I do not have any option to switch to this app. Helpless. Since dec-2020 I am coordinating with HDFC team and still issues are not resolved for app. Its April-2021 now. Call support - worst Chat support - worst Application - worst You guys are just playing with our money.,1,2,7.9,2021-04-29 13:49:53,,,com.pms.activity,hdfc_ergo,2021,1,app see ever lot mail send support team still not see claim detail use health jinn every tab helpful takeover not option switch app helpless since dec coordinate team still issue not resolve app april call support chat support app guy play money,43
gp:AOqpTOFr7qp9tbs6p1aBGgNFo2CkqMKantfZKaErS0L-L-ih-hXlR-wGuUNxm0O_P-F91LJLltoRrxXNjhvjOA,sales executive not working good and not informed correct imformation,1,0,2.5,2019-01-22 20:41:26,"Hello, apologies for the inconvenience. Request you to please share a brief of your query  mobile.support@bajajallianz.co.in in order to serve you better.",2019-01-24 16:21:29,com.ba.cp.controller,bajaj_allianz,2019,1,sale executive not work not inform correct imformation,8
gp:AOqpTOHDBqXaFNsLRHZXhuHLPc5XQTohhNNGh2gj-E_MtdZveB2voh4Qa8NBS2nkOwh5IQYEZTjadOeuT4A4UdM,"Person will ""die"" any your app only show ""loading""",1,0,7.1,2020-11-15 20:42:41,"Hi Rahul Joshi, Sincere apologies for the trouble. We request you to write your concern at ""contactsupport@hdfcergo.com"" with your registered details. We will look into this. We will provide the best resolution for the issue faced by you. Take it easy! :)",2020-11-20 13:05:17,com.pms.activity,hdfc_ergo,2020,1,person die app show loading,5
gp:AOqpTOGJmWYZSWs60mN_EY3PaXLKc0S65eSUuYWg1UaiVuk2Kg0jZrCVetLxUm5sgxpfBzbvp4Yl5L45MJTPIw,On first attempt it was successful to login. After that trying more than 20 times but non of the attempt were successful. No error and no results were shown for validations.,1,2,1.0.52,2020-01-04 13:00:06,Dear Poonam We apologize for the unpleasant experience. It would be helpful if you could share your policy details and registered email ID and phone number with us at iltakecare@icicilombard.com. We will look into the issue. Thanks!,2020-01-06 19:42:21,icici.lombard.ghi,icici_lombard,2020,1,first attempt successful login try time non attempt successful no error no result show validation,15
gp:AOqpTOHOZ-GLg3qNujO_iBd-LYSCAfA72HfZuEJJ1TXv3ULENe-DsFl4RKdUMOil-nZF23X32Pxu6vdb2jfHPg,"it is not sink with system, details are back dated. in my case status shows surveyor deputed on 19th Jun. now he has visited dont know when, things are modify at branch level information given by custocare. but still showing surveyor deputed, dont know why this app made, you can't renew you policy, you can not check claim status, really disappointed, as per request shared contact number as well but no response.",1,9,4.0,2019-06-28 22:19:49,"Dear Customer, 
We really appreciate you bringing this to our attention. We would like to investigate your issue. Please share your contact details with us at bagichelp@bajajallianz.co.in so that we can resolve the issue.",2019-06-27 08:19:16,com.ba.cp.controller,bajaj_allianz,2019,1,not sink system detail back dated case status show surveyor depute th jun visit nt know thing modify branch level information give custocare still show surveyor depute nt know app make not renew policy not check claim status really disappoint per request share contact number well no response,48
gp:AOqpTOEFgmiBHOfjFrfvntM2w17yx0uKyHv4Av3mQ2ChR3_V4oZceIWB18Zu1JHxrw_VNu24eKG8HaRZdb_vrQY,No Insurance Premium Payment options in Google Pay or in Amazon Websites...So Poor they have Hdfc Life Insurance but why not HDFC ERGO,2,0,7.10,2021-07-04 23:58:41,"Hi Lakshmi Narayana Prasad, Sincere apologies for the trouble. We request you to write your concern at ""contactsupport@hdfcergo.com"" with your registered details. We will look into this.
We will provide the best resolution for the issue faced by you.

Take it easy! :)",2021-07-05 11:44:34,com.pms.activity,hdfc_ergo,2021,1,no premium payment option google pay amazon websitesso poor life not,11
gp:AOqpTOG2EM6W2qX7shhHG1vEKftP_rJAXv1KfWVENUYZUNs_EaPclFOndfgk4EFWvGdW-3ppDNc78saPLEICLw,I try soo much time but no otp recieve,2,0,2.0.11,2020-12-14 14:41:54,"Dear Arun, we are glad to inform you that the OTP issue has been resolved from our end. If you still face the issue, we request you to write to us at iltakecare@icicilombard.com and if you are satisfied with the resolution, do rate us again. Thanks!",2021-01-06 21:33:11,icici.lombard.ghi,icici_lombard,2020,1,try soo much time no otp recieve,7
gp:AOqpTOEVW6sHxJoZDkr-Mlssxa7c0A5ylaKGJIyuWbJKL19QwPuUyyrT4Y9Ndg4kqgyKrWltloOIs7UqPmycbbE,How many years after slove??? 21st century u know,1,0,7.7,2021-04-12 12:09:57,"Hi Rafik Mansuri, We are sorry for the inconvenience caused.
Please share the issue faced by you at ""contactsupport@hdfcergo.com"" along with you're registered contact details. We will fix it and update you.

Take it easy! :)",2021-04-22 16:06:04,com.pms.activity,hdfc_ergo,2021,1,many year slove st century u know,7
gp:AOqpTOFSCY8uXa8gonAoCsC83sTMU2jxt0rN_3wuGsQ618BE3vTlPlbXkb4wUc-OsiNYWdCgjFtCcdZHZj7Twg,Good app to get all your policy details at one place...,4,1,2.0.39,2021-08-09 11:16:51,"Dear Sagar, Thank you so much for your valuable feedback.

",2021-08-09 18:50:15,icici.lombard.ghi,icici_lombard,2021,0,app get policy detail one place,6
gp:AOqpTOFcl_EeL6nOLFn4Iz0FnuSd7v6EHT7-1UfY1ZfdrltkiN15X2jeOOI8Uk_oGrAflhREtbPOMv4gQqmMLw,No proper response on the claims. They do advertise as fastest claim n hassles. It's just in ads . You do not get any Information on the claims and no one to contact or give proper details. It's been 2 times I have been facing issue with claim. It's almost took 2 months to settle the payment. Also payment details r not clear. Duty doctor charges are not claimed dono y n I don't see any condition in the policy but still there is no way to contact them on the settlement amount.,1,67,15.1,2021-06-27 22:17:49,,,com.ba.cp.controller,bajaj_allianz,2021,1,no proper response claim advertise fast claim n hassle ad not get information claim no one contact give proper detail time face issue claim almost take month settle payment also payment detail r not clear duty doctor charge not claim dono n not see condition policy still no way contact settlement amount,52
gp:AOqpTOHDsGuWkgUTpLDt2qxzZaUTUJyKP_gOUEvn_50UcxYIf7QAFVLG-GfyAkM8sIx5t-c9LtvriXiTsklu9g,"Step by step is very clear, easy to understand and upload the documents",5,0,13.0,2021-02-23 01:18:51,,,com.ba.cp.controller,bajaj_allianz,2021,0,step step clear easy understand upload document,7
gp:AOqpTOHgJMFI9ORvNsu9lVZKUiM1RM2uD5gCQz00MboJTt2nWFRdD-CUQXWa5Tq2gCvfkDGw4Q_qY-b8qQOyTA,"I personally suggeat to you all, kindly don't take Insurance from ICICI. I am not recommend anyone for ICICI insurance. I call several time to customer care, but every time Nobody is their to solve my issue. We take insurance from you because we believe in you. And in case of emergency if you guys not responding then sorry to say but you all ( ICICI LOMBARD) useless. You guys deserve Zero rating....",1,0,2.0.10,2020-12-15 14:07:38,"Dear Abhishek Dwivedi, we're sorry to hear this. Request you to share your registered phone number and email ID at iltakecare@icicilombard.com. We will get in touch with you and assist you further. Thanks!",2020-12-15 18:49:30,icici.lombard.ghi,icici_lombard,2020,1,personally suggeat kindly not take not recommend anyone call several time customer care every time nobody solve issue take believe case emergency guy not respond sorry say useless guy deserve zero rating,32
gp:AOqpTOHbSnMzrsmLp70zjQ5mGQjULGpRW5JZg13auoSBFN8w1sLHANTmNeA71aTRKt-Kt4Xc2ilK01TzHADrQw,"Worst service ever offered by any insurance comapny. For my motor claim I'm chasing since last one month, no timeline, no commitment and everytime they give you another timeling 2-3 days but still claim is under process.",1,0,2.0.6,2020-10-18 19:02:21,"Dear Gulfam Khan, we apologize for the inconvenience you had to face. We request you to share your claim number or policy number along with contact details at iltakecare@icicilombard.com. Our team will look into the matter. Thanks!",2020-10-19 13:41:16,icici.lombard.ghi,icici_lombard,2020,1,service ever offer comapny motor claim chase since last one month no timeline no commitment everytime give another timeling day still claim process,23
gp:AOqpTOHqWJFiMiATaOyMYUjxtTvl9FHMqX_RnNic3U30Y59aJgnUB7qtOUJhHqnvy9T3kqCbtAIePFeQ-5kr4w,Always prompt in the time of need,4,0,,2021-04-27 20:15:20,,,com.ba.cp.controller,bajaj_allianz,2021,0,always prompt time need,4
gp:AOqpTOHjioPSvebBLi0FbOILHaFt8SfVVPLaxKOqE5JeCvCr0kyFbosj4MEOnNQNHnKYIuHNIF-g2VETZ6F1lwk,Finding policy details for registration is really difficult. Reaching customer service is also problematic,4,0,6.6,2020-06-12 10:58:55,"Hi Siva Regilla, Please accept our apology. We understand that it is discomforting and please we request you to write your concern to us at ""contactsupport@hdfcergo.com,"" along with your registered mobile no. or email id. so that we can quickly assist you and resolve your concern. Take it easy! :)",2020-06-15 13:01:27,com.pms.activity,hdfc_ergo,2020,0,find policy detail registration really difficult reach customer service also problematic,11
gp:AOqpTOHUXgrL4HOcn5QRlDHwvDnzT1TDoCTvNmYnV6UdZqa-H9B92TM38Kol5vWmjuaYamZBHiU3LG21dqJc9Sc,This new update has bug. When we click on profile on top right corner its says sorry page.,2,0,2.1.3,2020-09-21 17:53:57,"Hey Nikhil, please update to the new version of the app (2.1.4) to fix your issue. We urge you to update the app for a seamless experience. If you are happy with the improvement, we'd request you to please show us some love by amending your rating. 🙂 Regards, Team ACKO",2020-09-30 12:56:23,com.acko.android,acko,2020,1,new update bug click profile top right corner say sorry page,11
gp:AOqpTOE566IdX9S6WyUJ1HVY6f7ygkGek_fn4lUZig4GyAI_XTzAUpV4v0eCo627yiAhXXo88ynpKVEqNmTI4vE,Please enable to synchronize it with Google fit and please make it more user friendly,1,0,7.9,2021-05-24 21:14:56,"Hi Rohit Wadhwa, We are sorry for the inconvenience caused.
Please share the issue faced by you at ""contactsupport@hdfcergo.com"" along with you're registered contact details. We will fix it and update you.

Take it easy! :)",2021-05-25 13:46:54,com.pms.activity,hdfc_ergo,2021,1,please enable synchronize google fit please make user friendly,9
gp:AOqpTOFVwQZ79yLptTxZRxAvY69bsan62R-PjGd9TAV7DNF_otEok6RcSVWf8jVMiJK5D0nEJdlie_jwsd4oem0,"First of all it takes too much time to open. After opening there are no policies shown (I have 3 health and 1 accident insurance policies). So I have to click on ""link"" everytime and then again it shows ""loading"". If succcesful it shows all the 4 policies and if not again click ""link"" and wait till you are lucky. Extremely pathetic experience since HDFC Ergo has taken over. Apollo Munich was much better, appwise and servicewise as well. Thanks to the portability clause...",1,1,7.6,2021-03-16 12:46:27,,,com.pms.activity,hdfc_ergo,2021,1,first take much time open open no policy show health accident policy click link everytime show load succcesful show policy not click link wait till lucky extremely experience since take much well appwise servicewise well thank portability clause,38
gp:AOqpTOFD2W_WAg8kagXRYjVWKL8W51JYm9NKa-306A1HcGwtMCKu3bqcKmmZdkW7ZNLmxhmqCisQjXfXRZzK2SQ,Very slow app Error and omg worst app i have ever seen of branded company...,1,0,7.7,2021-03-25 13:53:36,,,com.pms.activity,hdfc_ergo,2021,1,slow app error omg app ever see brand company,9
gp:AOqpTOFhkApH4RDtj8grGqwiN0P9fb8xD2FDQiH7qbR55xzeVr1vWCm97tbSRA_FxKBIAcyn-OCabDbCclPvmg,Very bad. Not able to renew my policy.poor work.,1,0,2.0.24,2021-04-02 18:07:56,"Dear Shivam, we apologize for the unpleasant experience. It would be helpful if you could share your policy details and registered email ID and phone number with us at iltakecare@icicilombard.com. We will look into the issue. Thanks!",2021-04-06 22:37:19,icici.lombard.ghi,icici_lombard,2021,1,not able renew policypoor work,5
gp:AOqpTOHpViQQtkP3umleLD2246n9UZYwbIRNcVBTdCf9YaxeAJFZjsscLkzS--NtDujRrzlyK8mQ6B48-3FXhGw,Very Bakwas App...It's Too slow..having 48Mbps network wifi..but ur App is crying...,1,0,7.6,2021-03-02 18:24:37,,,com.pms.activity,hdfc_ergo,2021,1,bakwas appit slowhaving mbps network wifibut ur app cry,9
gp:AOqpTOFIL7pgWrm0Ki6w7e4qJEiNKqGm6Ef493uPoccP7971v21Yl_int1MpTGQDzY4l7GZ3mZ84LW5hUnf2_Pg,Excellent app.veey easy to apply for claim,5,0,7.10,2021-06-09 18:49:40,"Hi Sunil Chowdary, Thank you for the feedback on our app. We work towards the best customer experience and request your continuous support in our future endeavors.

Take it easy! :)",2021-06-10 10:27:09,com.pms.activity,hdfc_ergo,2021,0,appveey easy apply claim,4
gp:AOqpTOG29LRlhB-Nlwch3rbHe4Cs8mnON6f-NmXfc-5tFui8RgtwYYkVEZBWr7S7Wlgzx_bGD8Ly0zmAZdpOlA,We can trace the claim status & query reply & response is now on our finger tips.,5,1,9.1,2020-07-18 15:26:52,,,com.ba.cp.controller,bajaj_allianz,2020,0,trace claim status query reply response finger tip,8
gp:AOqpTOGJxziH8o4r7d2pyJ7s_p7eOp2GYWorwHIiD0ZnfrmBEMrl1yhlgQkGvO0uX4tWwfeavQettsAmuNSsmX8,Not able to use it .. popup is coming to track fitness and showing error,1,0,7.9,2021-05-04 15:03:45,"Hi Arun Paul, We are sorry for the inconvenience caused.
Please share the issue faced by you at ""contactsupport@hdfcergo.com"" along with you're registered contact details. We will fix it and update you.

Take it easy! :)",2021-05-05 11:15:31,com.pms.activity,hdfc_ergo,2021,1,not able use popup come track fitness show error,9
gp:AOqpTOHLsuNo57iilNRjT2tWNSa1PM2EDzz93qRbrKDy_U4xbqvIyLkIH3XG_zIbeRaEnNiiW5KZ_TttNhZlKQ,Immediately support on call,5,0,1.0.67,2020-06-25 12:23:04,"Dear Mangesh, we value your appreciation.",2020-06-26 19:53:57,icici.lombard.ghi,icici_lombard,2020,0,immediately support call,3
gp:AOqpTOGp3xcKZsHs6qIaJL9XvRoUhF2o_FxOBl4H60Khn0sNl3kzOZAvGlIAv8BNOCoXgFiAK-BhNLt_vqk9IA,Helpful but still needs few improvements here and there as I couldn't find exact details of the policies I wanted directly in app,5,1,5.7,2020-01-14 22:04:26,,,com.ba.cp.controller,bajaj_allianz,2020,0,helpful still need improvement could not find exact detail policy want directly app,13
gp:AOqpTOHpet38XrEw4u7TQ_139D5FBACWgj609KEM38Gt1qygcJGXOoTu-_y7YZ3FkY-PXDc1OYe1cbwPot7qZSM,"Installed 2 times, but not even able to use . Every time it asks to select default policy, if I select then its getting hang up and no response. I am assoiciated with HDFC since more than 15 years, but this app service has unsatisfied me, I fill bad to take HDFC ERGO as insurance",1,2,7.6,2021-03-10 08:47:05,,,com.pms.activity,hdfc_ergo,2021,1,instal time not even able use every time ask select default policy select getting hang no response assoiciate since year app service unsatisfie fill take,25
